Experiment Name, Desired Rate, Records, Errors, Buffering Time, Retries Per Second, Records Per Second, Records Per Hour, Thoughput
20-1-2000000, 2000000, 39830, 0, 66.29775802766689, 0.0, 663.85, 2389860.0, 2165.643733723958
20-1-4000000, 4000000, 98863, 0, 56.29200720181259, 0.0, 1647.7333333333333, 5931840.0, 5261.41015625
20-1-6000000, 6000000, 185089, 0, 43.70941163758172, 0.0, 3084.8333333333335, 1.11054E7, 10186.237093098958
20-1-8000000, 8000000, 305826, 0, 34.15077151461447, 0.0, 5097.116666666667, 1.834962E7, 16558.30693359375
20-1-10000000, 10000000, 409875, 11363, 1706.0366807247137, 0.40343420937063895, 6027.294117647059, 2.169825882352941E7, 19498.188735064337
20-1-12000000, 12000000, 489436, 14990, 5179.589263470067, 0.499146979080045, 6107.518987341772, 2.198706835443038E7, 19686.365123121046
20-1-14000000, 14000000, 601216, 16722, 7898.27396765115, 0.762381968573743, 6024.340909090909, 2.1687627272727273E7, 19583.118519176136
20-1-16000000, 16000000, 666635, 17394, 8473.899287708917, 0.9107533946561542, 6041.123595505618, 2.1748044943820227E7, 19384.02986745084
20-1-18000000, 18000000, 706512, 16906, 9027.860671375583, 0.9140879219490653, 6136.528089887641, 2.2091501123595506E7, 19893.918418627105
20-1-20000000, 20000000, 735136, 17452, 9407.014363272025, 0.938067326226268, 6182.808988764045, 2.225811235955056E7, 20092.26316713483
32-1-3200000, 3200000, 72291, 0, 67.27820505726774, 0.0, 1204.8666666666666, 4337520.0, 3857.8045735677083
32-1-6400000, 6400000, 207379, 0, 47.58890442665638, 0.0, 3456.3333333333335, 1.24428E7, 11379.407763671876
32-1-9600000, 9600000, 387963, 0, 33.20858894124197, 0.0, 6466.066666666667, 2.327784E7, 21106.942122395834
32-1-12800000, 12800000, 552461, 3221, 105.49558146988322, 0.08436055330502369, 8910.677419354839, 3.207843870967742E7, 28843.902879284273
32-1-16000000, 16000000, 620469, 5577, 140.34741324051998, 0.14653730236756007, 8739.014084507042, 3.146045070422535E7, 28493.26678036972
32-1-19200000, 19200000, 657717, 4726, 195.91561645164026, 0.12885309509546644, 8540.90909090909, 3.0747272727272723E7, 27847.44150771104
32-1-22400000, 22400000, 655775, 11721, 755.561627699575, 0.2738541819157761, 9108.0, 3.27888E7, 29678.593695746527
32-1-25600000, 25600000, 629275, 9486, 276.0606046138938, 0.23158518678608433, 9392.179104477613, 3.38118447761194E7, 30118.42812791511
32-1-28800000, 28800000, 680949, 13645, 956.069359708016, 0.303649313459138, 9323.09589041096, 3.356314520547945E7, 29924.34586365582
32-1-32000000, 32000000, 639688, 5531, 253.34028461841967, 0.1648441664621402, 8644.054054054053, 3.111859459459459E7, 28158.35962573902
16-1-1600000, 1600000, 30427, 0, 65.88451426317864, 0.0, 507.1333333333333, 1825680.0, 1650.378173828125
16-1-3200000, 3200000, 73036, 0, 58.07330531100675, 0.0, 1217.2833333333333, 4382220.0, 3986.719873046875
16-1-4800000, 4800000, 130605, 0, 48.427338713382234, 0.0, 2176.766666666667, 7836360.000000001, 7059.660367838542
16-1-6400000, 6400000, 208742, 0, 38.8936395471944, 0.0, 3479.05, 1.252458E7, 11246.950390625
16-1-8000000, 8000000, 290962, 3811, 137.04865190671063, 0.19172884524836492, 4692.951612903225, 1.689462580645161E7, 15410.230185231854
16-1-9600000, 9600000, 386795, 11840, 4885.336316236333, 0.4890252225979586, 4970.727272727273, 1.7894618181818184E7, 16104.39359273539
16-1-11200000, 11200000, 465611, 13396, 7519.369055932578, 0.7991482178294373, 4936.9047619047615, 1.777285714285714E7, 16168.488688151041
16-1-12800000, 12800000, 548594, 13697, 8185.827970637181, 1.0493788678351061, 4804.355555555556, 1.729568E7, 15556.154904513889
16-1-14400000, 14400000, 650724, 14610, 8980.926145333458, 1.2534972530638904, 4981.644444444444, 1.793392E7, 15906.492198350694
16-1-16000000, 16000000, 693848, 14450, 9737.142690009878, 1.2543737902627228, 4844.815217391304, 1.7441334782608695E7, 15824.430207625679
8-1-800000, 800000, 13885, 0, 64.70949157424744, 0.0, 231.43333333333334, 833160.0, 751.4538736979167
8-1-1600000, 1600000, 30598, 0, 59.15288081309847, 0.0, 509.98333333333335, 1835940.0, 1660.146728515625
8-1-2400000, 2400000, 49945, 0, 55.707624234172904, 0.0, 832.4333333333333, 2996760.0, 2705.908251953125
8-1-3200000, 3200000, 72535, 0, 51.6453347303408, 0.0, 1208.9333333333334, 4352160.0, 3951.109684244792
8-1-4000000, 4000000, 100120, 0, 47.034857822035335, 0.0, 1668.6833333333334, 6007260.0, 5463.572786458333
8-1-4800000, 4800000, 131699, 0, 44.438572513287774, 0.0, 2195.0, 7902000.0, 7191.676969401042
8-1-5600000, 5600000, 165467, 4456, 1732.6143209897862, 0.39994440012570404, 2433.3382352941176, 8760017.647058824, 8015.770579618566
8-1-6400000, 6400000, 203925, 6358, 5824.848208313132, 0.5980993105342134, 2468.625, 8887050.0, 8086.503405761719
8-1-7200000, 7200000, 251580, 7054, 7241.1924294110395, 1.0309602076468414, 2508.3372093023254, 9030013.953488372, 8084.451716933139
8-1-8000000, 8000000, 296136, 7150, 7374.73822320752, 1.5087138722955928, 2493.8390804597702, 8977820.689655174, 8183.899492636494
4-1-400000, 400000, 6835, 0, 64.15242832065536, 0.0, 113.93333333333334, 410160.0, 368.97705078125
4-1-800000, 800000, 14138, 0, 58.48355612136643, 0.0, 235.65, 848340.0, 755.482763671875
4-1-1200000, 1200000, 22119, 0, 57.15492766726944, 0.0, 368.6666666666667, 1327200.0, 1197.5368326822916
4-1-1600000, 1600000, 30327, 0, 56.16232524399894, 0.0, 505.46666666666664, 1819680.0, 1670.1283528645833
4-1-2000000, 2000000, 39515, 0, 55.00020244964065, 0.0, 658.6, 2370960.0, 2140.7924641927084
4-1-2400000, 2400000, 50269, 0, 53.76701810224786, 0.0, 837.8333333333334, 3016200.0, 2709.5506510416667
4-1-2800000, 2800000, 60575, 0, 52.5462559429477, 0.0, 1009.6, 3634560.0, 3242.4164876302084
4-1-3200000, 3200000, 72656, 400, 197.7478259764036, 0.0825660294259328, 1171.8870967741937, 4218793.548387097, 3844.9114635836695
4-1-3600000, 3600000, 85477, 2629, 2625.8700662633246, 0.46184983270549146, 1220.7714285714285, 4394777.142857143, 3991.035128348214
4-1-4000000, 4000000, 99631, 3234, 5591.091970344308, 0.5974787216958407, 1232.9367088607594, 4438572.151898733, 4029.6231581289558
2-1-200000, 200000, 3261, 0, 63.91753525444513, 0.0, 54.36666666666667, 195720.0, 175.02325846354168
2-1-400000, 400000, 6849, 0, 58.3607299270073, 0.0, 114.16666666666667, 411000.0, 377.87293294270836
2-1-600000, 600000, 10489, 0, 56.36453765490944, 0.0, 174.83333333333334, 629400.0, 559.7613932291666
2-1-800000, 800000, 14045, 0, 56.85027765912003, 0.0, 234.1, 842760.0, 756.6807779947917
2-1-1000000, 1000000, 18142, 0, 57.67916000661412, 0.0, 302.3833333333333, 1088580.0, 986.322412109375
2-1-1200000, 1200000, 22135, 0, 59.09048608601373, 0.0, 368.93333333333334, 1328160.0, 1189.755419921875
2-1-1400000, 1400000, 26260, 0, 59.20063973192186, 0.0, 437.68333333333334, 1575660.0, 1407.6669108072917
2-1-1600000, 1600000, 30787, 0, 58.90583993763804, 0.0, 513.1333333333333, 1847280.0, 1683.9389485677084
2-1-1800000, 1800000, 35247, 0, 57.55095324557422, 0.0, 587.4666666666667, 2114880.0, 1895.7800618489584
2-1-2000000, 2000000, 39475, 1077, 946.6369639371774, 0.3887171952578782, 616.8125, 2220525.0, 2041.101791381836
1-1-100000, 100000, 1611, 0, 64.1786600496278, 0.0, 26.866666666666667, 96720.0, 86.062890625
1-1-200000, 200000, 3343, 0, 58.21680622009569, 0.0, 55.733333333333334, 200640.0, 182.03650716145833
1-1-300000, 300000, 5154, 0, 56.678952473326866, 0.0, 85.91666666666667, 309300.0, 283.00865885416664
1-1-400000, 400000, 6747, 0, 56.54845880260818, 0.0, 112.46666666666667, 404880.0, 360.71350911458336
1-1-500000, 500000, 8653, 0, 58.71562283337185, 0.0, 144.23333333333332, 519239.99999999994, 469.66009114583335
1-1-600000, 600000, 10257, 0, 61.730844219146036, 0.0, 170.96666666666667, 615480.0, 557.7273111979167
1-1-700000, 700000, 12047, 0, 64.50539508632139, 0.0, 200.8, 722880.0, 652.5451985677083
1-1-800000, 800000, 14032, 0, 65.55283973491056, 0.0, 233.88333333333333, 841980.0, 767.6305501302083
1-1-900000, 900000, 15738, 0, 64.47404536501683, 0.0, 262.31666666666666, 944340.0, 863.028076171875
1-1-1000000, 1000000, 17873, 0, 62.268098914624595, 0.0, 297.9, 1072440.0, 962.388525390625
